Customer ID,Customer Name,Segment,Orders,Revenue,Profit,Units,Last_Order,First_Order,Recency Days,AOV,Revenue Contribution %,R_Score,F_Score,M_Score,RFM Score,RFM Segment
AA-10315,Alex Avila,Consumer,5,5563.56,-362.8825,30,2017-06-29,2014-03-31,184,1112.712,0.002421886608240881,2,2,5,225,Potential Loyalists
AA-10375,Allen Armold,Consumer,9,1056.39,277.3824,41,2017-12-11,2014-04-21,19,117.37666666666668,0.0004598596571403174,5,5,2,552,Loyal Customers
AA-10480,Andrew Allen,Consumer,4,1790.5120000000002,435.8274,36,2017-04-15,2014-05-04,259,447.62800000000004,0.0007794320605322125,1,1,3,113,At Risk
AA-10645,Anna Andreadi,Consumer,6,5086.9349999999995,857.8033,64,2017-11-05,2014-06-22,55,847.8224999999999,0.002214405839694696,3,3,5,335,Loyal Customers
AB-10015,Aaron Bergman,Consumer,3,886.156,129.3465,13,2016-11-10,2014-02-18,415,295.38533333333334,0.0003857546875044586,1,1,1,111,Lost / Low Value
AB-10060,Adam Bellavance,Home Office,8,7755.62,2054.5885,56,2017-11-06,2015-09-18,54,969.4525,0.0033761174889109023,3,4,5,345,Loyal Customers
AB-10105,Adrian Barton,Consumer,10,14473.570999999998,5444.8055,73,2017-11-19,2014-12-20,41,1447.3570999999997,0.006300524803960696,4,5,5,455,Champions
AB-10150,Aimee Bixby,Consumer,5,966.71,313.6597,37,2017-11-19,2014-03-05,41,193.342,0.00042082084188047617,4,2,2,422,Potential Loyalists
AB-10165,Alan Barnes,Consumer,8,1113.838,220.813,48,2017-12-05,2014-11-16,25,139.22975,0.0004848674834008811,5,4,2,542,Loyal Customers
AB-10255,Alejandro Ballentine,Home Office,9,914.5319999999999,264.5675,39,2017-07-17,2014-07-22,166,101.61466666666666,0.0003981071119225368,2,5,1,251,Potential Loyalists
AB-10600,Ann Blume,Corporate,4,1515.862,-274.9604,38,2017-11-10,2014-11-18,50,378.9655,0.0006598735122369918,4,1,2,412,New / Promising
AC-10420,Alyssa Crouse,Corporate,3,925.8,-62.1342,17,2017-05-12,2014-07-12,232,308.59999999999997,0.0004030122119487176,1,1,1,111,Lost / Low Value
AC-10450,Amy Cox,Consumer,7,5527.846,1366.0098,43,2017-12-19,2014-10-31,11,789.6922857142856,0.002406339861494784,5,3,5,535,Champions
AC-10615,Ann Chong,Corporate,5,2537.6859999999997,298.8273,59,2017-12-24,2015-09-15,6,507.5371999999999,0.0011046861612565276,5,2,3,523,Loyal Customers
AC-10660,Anna Chung,Consumer,5,657.316,-28.700399999999995,16,2017-03-23,2014-10-15,282,131.4632,0.00028613779985880674,1,2,1,121,At Risk
AD-10180,Alan Dominguez,Home Office,8,6106.88,1869.9294,40,2017-12-01,2014-11-19,29,763.36,0.002658400536730811,4,4,5,445,Champions
AF-10870,Art Ferguson,Consumer,7,2052.908,317.9712,51,2017-11-19,2015-12-06,41,293.27257142857144,0.0008936562907833419,4,3,3,433,Loyal Customers
AF-10885,Art Foster,Consumer,4,861.565,-163.1175,37,2016-11-10,2014-05-10,415,215.39125,0.000375049920487791,1,1,1,111,Lost / Low Value
AG-10270,Alejandro Grove,Consumer,5,2582.898,732.7399,58,2017-03-27,2014-05-13,278,516.5796,0.0011243675050960455,1,2,3,123,New / Promising
AG-10300,Aleksandra Gannaway,Corporate,4,367.548,59.288399999999996,16,2017-09-03,2014-04-26,118,91.887,0.0001599981988305544,2,1,1,211,At Risk
AG-10330,Alex Grayson,Consumer,5,660.972,-5.137100000000006,47,2017-12-22,2016-08-03,8,132.1944,0.000287729301961728,5,2,1,521,Potential Loyalists
AG-10390,Allen Goldenen,Consumer,5,200.945,69.2784,33,2017-09-07,2014-04-19,114,40.189,8.747384848783221e-05,2,2,1,221,At Risk
AG-10495,Andrew Gjertsen,Corporate,8,2356.855,295.6668,93,2017-10-13,2015-01-04,78,294.606875,0.001025968186209111,3,4,3,343,Loyal Customers
AG-10525,Andy Gerbode,Corporate,4,1455.038,-152.7613,33,2015-09-07,2014-08-09,845,363.7595,0.0006333960713430959,1,1,2,112,At Risk
AG-10675,Anna Gayman,Consumer,7,3489.0396000000005,-246.42570000000003,54,2017-09-24,2015-05-07,97,498.43422857142866,0.0015188221719298653,3,3,4,334,Loyal Customers
AG-10765,Anthony Garverick,Home Office,4,170.584,-8.431000000000001,20,2017-10-14,2014-09-17,77,42.646,7.425732897284516e-05,3,1,1,311,At Risk
AG-10900,Arthur Gainer,Consumer,10,4510.797,343.6824,92,2017-09-25,2014-07-23,96,451.07969999999995,0.001963605829144134,3,5,5,355,Champions
AH-10030,Aaron Hawkins,Corporate,7,1744.7,365.2152,54,2017-12-18,2014-04-22,12,249.24285714285716,0.000759489529257861,5,3,3,533,Loyal Customers
AH-10075,Adam Hart,Corporate,10,3250.337,281.189,75,2017-11-26,2014-11-16,34,325.0337,0.0014149119722928916,4,5,4,454,Champions
AH-10120,Adrian Hane,Home Office,7,1735.5140000000001,-2.3145999999999773,65,2017-10-31,2014-07-18,60,247.93057142857145,0.0007554907496305539,3,3,2,332,Potential Loyalists
AH-10195,Alan Haines,Corporate,4,1587.452,-378.5509,28,2017-11-05,2015-03-05,55,396.863,0.0006910375263365908,3,1,2,312,New / Promising
AH-10210,Alan Hwang,Consumer,9,4805.344,1308.5546,53,2017-12-24,2014-11-29,6,533.9271111111111,0.002091825788090839,5,5,5,555,Champions
AH-10465,Amy Hunt,Consumer,5,2495.3916,-196.12009999999998,35,2017-05-14,2015-01-03,230,499.07831999999996,0.001086274884850129,1,2,3,123,New / Promising
AH-10585,Angele Hood,Consumer,4,738.504,83.96300000000001,17,2017-12-09,2014-10-26,21,184.626,0.0003214799422909654,5,1,1,511,New / Promising
AH-10690,Anna Häberlin,Corporate,12,7888.294,1298.0166,102,2016-11-15,2014-04-02,410,657.3578333333334,0.0034338721251261583,1,5,5,155,Loyal Customers
AI-10855,Arianne Irving,Consumer,10,4375.786,867.7271000000001,72,2017-12-17,2014-04-28,13,437.5786,0.0019048338678702003,5,5,5,555,Champions
AJ-10780,Anthony Jacobs,Corporate,7,4867.344,150.71300000000005,62,2017-10-16,2014-01-10,75,695.3348571428571,0.002118815156357009,3,3,5,335,Loyal Customers
AJ-10795,Anthony Johnson,Corporate,7,4501.391,1158.7064,88,2017-07-17,2014-05-14,166,643.0558571428571,0.0019595112807907216,2,3,5,235,Loyal Customers
AJ-10945,Ashley Jarboe,Consumer,7,1839.24,521.1351999999999,40,2017-10-06,2014-03-03,85,262.74857142857144,0.0008006439627398568,3,3,3,333,Potential Loyalists
AJ-10960,Astrea Jones,Consumer,3,629.2479999999999,60.4265,22,2017-10-17,2014-09-14,74,209.7493333333333,0.00027391945165727654,3,1,1,311,At Risk
AM-10360,Alice McCarthy,Corporate,5,814.012,194.9878,48,2017-12-02,2014-10-06,28,162.80239999999998,0.00035434951034002974,4,2,1,421,New / Promising
AM-10705,Anne McFarland,Consumer,8,5664.022,1085.7326,81,2017-07-21,2014-10-31,162,708.00275,0.0024656189617046874,2,4,5,245,Loyal Customers
AO-10810,Anthony O'Donnell,Corporate,1,161.28,12.096,2,2016-08-16,2016-08-16,501,161.28,7.020718248335404e-05,1,1,1,111,Lost / Low Value
AP-10720,Anne Pryor,Home Office,8,1638.554,285.7888,85,2017-11-19,2014-03-03,41,204.81925,0.0007132828601613946,4,4,2,442,Loyal Customers
AP-10915,Arthur Prichep,Consumer,10,3323.556,579.3113,102,2017-09-23,2014-08-23,98,332.3556,0.0014467851102780646,3,5,4,354,Loyal Customers
AR-10345,Alex Russell,Corporate,4,1055.694,-221.0544,18,2017-09-10,2014-12-30,111,263.9235,0.00045955667971591004,2,1,2,212,At Risk
AR-10405,Allen Rosenblatt,Corporate,5,2236.128,-98.7646,29,2017-08-27,2014-10-03,125,447.22560000000004,0.0009734142271337892,2,2,3,223,New / Promising
AR-10510,Andrew Roberts,Consumer,5,264.86400000000003,43.6695,33,2017-12-16,2014-05-02,14,52.97280000000001,0.00011529858123307967,5,2,1,521,Potential Loyalists
AR-10540,Andy Reiter,Consumer,6,6608.448,2884.6208,33,2017-12-24,2014-11-25,6,1101.4080000000001,0.002876739302255432,5,3,5,535,Champions
AR-10570,Anemone Ratner,Consumer,1,88.15,32.633,6,2016-07-14,2016-07-14,534,88.15,3.837278730101476e-05,1,1,1,111,Lost / Low Value
AR-10825,Anthony Rawles,Corporate,8,4523.336,494.83519999999993,54,2017-11-02,2014-06-30,58,565.417,0.0019690642112197717,3,4,5,345,Loyal Customers
AS-10045,Aaron Smayling,Corporate,7,3050.692,-253.57459999999998,48,2017-10-03,2014-07-27,88,435.81314285714285,0.0013280040299138661,3,3,4,334,Loyal Customers
AS-10090,Adam Shillingsburg,Consumer,9,3255.31,64.53739999999998,81,2017-12-02,2014-09-22,28,361.7011111111111,0.0014170767808152733,4,5,4,454,Champions
AS-10135,Adrian Shami,Home Office,2,58.82,21.8496,9,2017-11-19,2016-11-13,41,29.41,2.5605074861550627e-05,4,1,1,411,New / Promising
AS-10225,Alan Schoenberger,Corporate,5,4260.784,719.7751000000001,41,2017-12-08,2014-10-18,22,852.1568,0.0018547720722355851,5,2,4,524,Loyal Customers
AS-10240,Alan Shonely,Consumer,7,584.6080000000001,33.715799999999994,39,2017-06-21,2014-03-15,192,83.51542857142859,0.000254487106505634,2,3,1,231,New / Promising
AS-10285,Alejandro Savely,Corporate,6,3214.236,354.62760000000003,39,2017-12-11,2016-05-21,19,535.706,0.0013991967596513268,5,3,4,534,Loyal Customers
AS-10630,Ann Steele,Home Office,7,833.398,136.49190000000002,34,2017-09-29,2014-08-01,92,119.05685714285714,0.00036278847635951326,3,3,1,331,New / Promising
AT-10435,Alyssa Tate,Home Office,6,1171.814,100.87680000000002,28,2017-12-09,2014-11-24,21,195.30233333333334,0.0005101051546040988,5,3,2,532,Loyal Customers
AT-10735,Annie Thurman,Consumer,10,3831.864,974.107,60,2017-12-17,2014-08-30,13,383.1864,0.0016680578813206533,5,5,4,554,Champions
AW-10840,Anthony Witt,Consumer,4,649.376,65.77250000000001,24,2017-12-10,2015-04-13,20,162.344,0.00028268141947117135,5,1,1,511,New / Promising
AW-10930,Arthur Wiediger,Home Office,7,2852.968,-104.5486,68,2017-11-14,2014-07-14,46,407.56685714285715,0.0012419323226387005,4,3,4,434,Loyal Customers
AY-10555,Andy Yotov,Corporate,4,497.014,103.3499,34,2017-12-16,2014-04-06,14,124.2535,0.00021635635289423197,5,1,1,511,New / Promising
AZ-10750,Annie Zypern,Consumer,6,1622.0179999999998,154.9503,40,2017-07-23,2014-03-17,160,270.3363333333333,0.000706084534457372,2,3,2,232,New / Promising
BB-10990,Barry Blumstein,Corporate,5,744.3399999999999,11.583900000000007,26,2017-09-16,2014-07-27,105,148.868,0.0003240204254071165,2,2,1,221,At Risk
BB-11545,Brenda Bowman,Corporate,9,6765.728,1015.0749999999999,83,2017-12-02,2015-06-05,28,751.7475555555556,0.002945205235173227,4,5,5,455,Champions
BC-11125,Becky Castell,Home Office,9,2933.676,251.5974,60,2017-06-11,2014-07-06,202,325.964,0.0012770655151229922,2,5,4,254,Loyal Customers
BD-11320,Bill Donatelli,Consumer,12,5718.521,1094.5037,75,2017-11-27,2015-05-31,33,476.54341666666664,0.0024893430517230423,4,5,5,455,Champions
BD-11500,Bradley Drucker,Consumer,6,4411.2429999999995,1142.1225,49,2017-11-25,2014-02-01,35,735.2071666666666,0.0019202687393317097,4,3,5,435,Loyal Customers
BD-11560,Brendan Dodson,Home Office,2,320.54,116.714,11,2017-03-27,2015-05-30,278,160.27,0.00013953503393610063,1,1,1,111,Lost / Low Value
BD-11605,Brian Dahlen,Consumer,7,3288.471,634.8463,74,2017-09-24,2014-01-13,97,469.78157142857145,0.0014315121750261518,3,3,4,334,Loyal Customers
BD-11620,Brian DeCherney,Consumer,6,1538.11,206.75689999999997,27,2017-10-22,2014-06-30,69,256.35166666666663,0.000669558342320633,3,3,2,332,Potential Loyalists
BD-11635,Brian Derr,Consumer,3,582.646,141.53400000000002,19,2017-12-21,2014-10-05,9,194.21533333333332,0.0002536330235937271,5,1,1,511,New / Promising
BD-11725,Bruce Degenhardt,Consumer,6,1526.5,333.9791,29,2017-09-28,2015-07-03,93,254.41666666666666,0.000664504365456597,3,3,2,332,Potential Loyalists
BD-11770,Bryan Davis,Consumer,6,658.466,141.265,21,2017-02-06,2016-03-10,327,109.74433333333333,0.00028663840910890504,1,3,1,131,At Risk
BE-11335,Bill Eplett,Home Office,5,4204.676,1487.7739000000001,35,2017-09-02,2016-01-15,119,840.9352000000001,0.001830347564579484,2,2,4,224,Potential Loyalists
BE-11410,Bobby Elias,Consumer,5,2261.438,755.9150999999999,19,2017-09-23,2016-02-07,98,452.2876,0.0009844319837598661,3,2,3,323,Potential Loyalists
BE-11455,Brad Eason,Home Office,6,1727.652,139.20080000000002,40,2017-04-20,2015-08-02,254,287.942,0.0007520683236094469,1,3,2,132,New / Promising
BF-10975,Barbara Fisher,Corporate,7,599.798,227.4384,38,2017-09-30,2014-07-14,91,85.68542857142857,0.00026109950173084566,3,3,1,331,New / Promising
BF-11005,Barry Franz,Home Office,4,1333.88,-291.38109999999995,26,2017-11-21,2014-09-25,39,333.47,0.0005806544926270853,4,1,2,412,New / Promising
BF-11020,Barry Französisch,Corporate,8,2888.506,302.02,78,2017-10-17,2014-02-15,74,361.06325,0.0012574024544039128,3,4,4,344,Loyal Customers
BF-11080,Bart Folk,Consumer,3,272.95,110.9272,29,2017-12-05,2014-11-28,25,90.98333333333333,0.00011881851722985793,5,1,1,511,New / Promising
BF-11170,Ben Ferrer,Home Office,11,5907.972,1538.2127,102,2017-12-14,2014-04-13,16,537.0883636363636,0.00257181341958424,5,5,5,555,Champions
BF-11215,Benjamin Farhat,Home Office,4,1585.162,523.2133,48,2017-10-26,2014-11-09,65,396.2905,0.000690040660960308,3,1,2,312,New / Promising
BF-11275,Beth Fritzler,Corporate,3,791.9899999999999,25.870199999999997,11,2017-11-03,2014-03-22,57,263.9966666666666,0.00034476306085684256,3,1,1,311,At Risk
BG-11035,Barry Gonzalez,Consumer,8,2798.948,-711.4274,35,2017-12-02,2014-11-05,28,349.8685,0.0012184167472558212,4,4,4,444,Loyal Customers
BG-11695,Brooke Gillingham,Corporate,6,1874.172,107.5715,24,2017-11-24,2014-05-11,36,312.362,0.0008158502951958868,4,3,3,433,Loyal Customers
BG-11740,Bruce Geld,Consumer,6,1006.356,119.34790000000001,22,2017-11-03,2014-03-23,57,167.726,0.0004380792369495179,3,3,2,332,Potential Loyalists
BH-11710,Brosina Hoffman,Consumer,8,6255.351,802.7898,97,2017-12-07,2014-06-09,23,781.918875,0.002723031802792852,5,4,5,545,Champions
BK-11260,Berenike Kampe,Consumer,6,659.1379999999999,-63.764399999999995,58,2017-10-14,2014-08-03,77,109.85633333333332,0.000286930939035919,3,3,1,331,New / Promising
BM-11140,Becky Martin,Consumer,4,11789.63,-1659.9580999999998,64,2017-02-26,2014-09-08,307,2947.4075,0.005132172028901447,1,1,5,115,New / Promising
BM-11575,Brendan Murry,Corporate,6,808.162,95.58160000000001,22,2017-09-21,2015-09-15,100,134.69366666666667,0.00035180293285039916,3,3,1,331,New / Promising
BM-11650,Brian Moss,Corporate,11,7294.185,2199.2781,95,2017-11-27,2014-07-09,33,663.1077272727273,0.0031752491155899298,4,5,5,455,Champions
BM-11785,Bryan Mills,Consumer,10,1338.842,137.7439,44,2017-05-26,2014-06-06,218,133.88420000000002,0.0005828145127131616,2,5,2,252,Potential Loyalists
BN-11470,Brad Norvell,Corporate,4,265.296,36.6131,15,2017-12-06,2014-09-12,24,66.324,0.00011548663618616007,5,1,1,511,New / Promising
BN-11515,Bradley Nguyen,Consumer,5,1459.344,340.7054,79,2017-12-21,2014-03-17,9,291.8688,0.0006352705265004206,5,2,2,522,Potential Loyalists
